Year,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2021,Republic of Moldova,EURO,422,375780,23,10269
2021,Réunion,AFRO,0,76602,0,409
2021,Romania,EURO,1497,1807223,37,58714
2021,Russian Federation,EURO,20638,10499982,912,308860
2021,Rwanda,AFRO,1488,110558,0,1349
2021,Saba,AMRO,0,31,0,0
2021,Saint Barthélemy,AMRO,0,1726,0,4
2021,"Saint Helena, Ascension and Tristan da Cunha",AFRO,0,0,0,0
2021,Saint Kitts and Nevis,AMRO,41,2918,0,28
2021,Saint Lucia,AMRO,63,13473,0,295
2021,Saint Martin,AMRO,0,4118,0,39
2021,Saint Pierre and Miquelon,AMRO,0,98,0,0
2021,Saint Vincent and the Grenadines,AMRO,45,5952,2,83
2021,Samoa,WPRO,0,2,0,0
2021,San Marino,EURO,154,8251,1,99
2021,Sao Tome and Principe,AFRO,58,3877,0,57
2021,Saudi Arabia,EMRO,752,555417,1,8875
2021,Senegal,AFRO,198,74870,0,1890
2021,Serbia,EURO,1949,1297147,23,12688
2021,Seychelles,AFRO,137,24788,0,126
2021,Sierra Leone,AFRO,92,6983,0,123
2021,Singapore,WPRO,311,279061,1,827
2021,Sint Eustatius,AMRO,0,32,0,0
2021,Sint Maarten,AMRO,107,5054,0,75
2021,Slovakia,EURO,2995,841733,37,16635
2021,Slovenia,EURO,1898,464121,5,6129
2021,Solomon Islands,WPRO,0,24,0,0
2021,Somalia,EMRO,0,23532,0,1333
2021,South Africa,AFRO,12978,3446532,126,91061
2021,South Sudan,AFRO,384,15626,1,136
2021,Spain,EURO,150534,6505901,102,91555
2021,Sri Lanka,SEARO,499,587245,17,14979
2021,Sudan,EMRO,108,46825,2,3337
2021,Suriname,AMRO,240,52031,1,1189
2021,Sweden,EURO,10934,1314682,7,15335
2021,Switzerland,EURO,18992,1315089,14,11898
2021,Syrian Arab Republic,EMRO,39,50243,4,2893
2021,Tajikistan,EURO,0,17493,0,125
2021,Thailand,SEARO,3111,2223435,26,21698
2021,The United Kingdom,EURO,272797,13441647,125,149929
2021,Timor-Leste,SEARO,4,19837,0,122
2021,Togo,AFRO,747,30163,2,248
2021,Tokelau,WPRO,0,0,0,0
2021,Tonga,WPRO,0,1,0,0
2021,Trinidad and Tobago,AMRO,465,90829,16,2825
2021,Tunisia,EMRO,1162,725842,8,25564
2021,Türkiye,EURO,39681,9441764,142,82104
2021,Turkmenistan,EURO,0,0,0,0
2021,Turks and Caicos Islands,AMRO,0,3283,0,26
2021,Tuvalu,WPRO,0,0,0,0
2021,Uganda,AFRO,1867,142671,3,3297
2021,Ukraine,EURO,7029,3667649,209,95899
2021,United Arab Emirates,EMRO,2366,759511,2,2162
2021,United Republic of Tanzania,AFRO,0,29306,0,737
2021,United States of America,AMRO,474309,53534286,1823,819055
2021,United States Virgin Islands,AMRO,330,9055,1,89
2021,Uruguay,AMRO,1417,410311,1,6168
2021,Uzbekistan,EURO,134,198903,0,1485
2021,Vanuatu,WPRO,0,7,0,0
2021,Venezuela (Bolivarian Republic of),AMRO,203,444186,2,5321
2021,Viet Nam,WPRO,19868,1714742,291,32168
2021,Wallis and Futuna,WPRO,0,453,0,7
2021,Yemen,EMRO,1,10126,0,1984
2021,Zambia,AFRO,5555,249193,4,3730
2021,Zimbabwe,AFRO,2073,211728,30,4997
2022,Afghanistan,EMRO,0,207214,0,7845
2022,Albania,EURO,0,332553,0,3594
2022,Algeria,AFRO,0,271179,0,6881
2022,American Samoa,WPRO,0,8266,0,34
2022,Andorra,EURO,0,47686,0,165
2022,Angola,AFRO,0,104973,0,1928
2022,Anguilla,AMRO,0,3904,0,12
2022,Antigua and Barbuda,AMRO,0,9106,0,146
2022,Argentina,AMRO,0,9829236,0,130080
2022,Armenia,EURO,0,445881,0,8712
2022,Aruba,AMRO,0,43752,0,280
2022,Australia,WPRO,0,10938096,0,15718
2022,Austria,EURO,5374,5668157,0,21348
2022,Azerbaijan,EURO,81,825737,3,10002
2022,Bahamas,AMRO,0,37491,0,833
2022,Bahrain,EMRO,0,696614,0,1536
2022,Bangladesh,SEARO,8,2037011,0,29438
2022,Barbados,AMRO,0,104416,0,567
2022,Belarus,EURO,0,994037,0,7118
2022,Belgium,EURO,23,4668248,1,33228
2022,Belize,AMRO,0,69675,0,688
2022,Benin,AFRO,0,27982,0,163
2022,Bermuda,AMRO,0,18557,0,152
2022,Bhutan,SEARO,0,62524,0,21
2022,Bolivia (Plurinational State of),AMRO,2989,1140832,3,22277
2022,Bonaire,AMRO,0,9767,0,32
2022,Bosnia and Herzegovina,EURO,26,400868,1,16221
2022,Botswana,AFRO,0,327471,0,2786
2022,Brazil,AMRO,42681,36044441,181,692461
2022,British Virgin Islands,AMRO,0,7305,0,64
2022,Brunei Darussalam,WPRO,0,266819,0,146
2022,Bulgaria,EURO,147,1290967,5,38089
2022,Burkina Faso,AFRO,0,22006,0,395
2022,Burundi,AFRO,0,51722,0,15
2022,Cabo Verde,AFRO,0,63173,0,412
2022,Cambodia,WPRO,10,138467,0,3056
2022,Cameroon,AFRO,0,123993,0,1965
2022,Canada,AMRO,0,4457366,0,48645
2022,Cayman Islands,AMRO,0,31472,0,37
2022,Central African Republic,AFRO,0,15310,0,113
2022,Chad,AFRO,0,7649,0,194
2022,Chile,AMRO,4931,4997056,50,62963
2022,China,WPRO,28493,10167676,76,31585
2022,Colombia,AMRO,0,6330409,0,141996
2022,Comoros,AFRO,0,8979,0,160
2022,Congo,AFRO,0,24775,0,386
2022,Cook Islands,WPRO,0,6607,0,1
2022,Costa Rica,AMRO,5190,1161687,13,9072
2022,Côte d’Ivoire,AFRO,0,87912,0,830
2022,Croatia,EURO,544,1260837,9,17492
2022,Cuba,AMRO,25,1111757,0,8530
2022,Curaçao,AMRO,0,45707,0,299
2022,Cyprus,EURO,2947,628509,5,1255
2022,Czechia,EURO,682,4576689,3,42063
2022,Democratic People's Republic of Korea,SEARO,0,0,0,0
2022,Democratic Republic of the Congo,AFRO,0,94969,0,1461
2022,Denmark,EURO,1731,3379211,11,7691
2022,Djibouti,EMRO,0,15690,0,189
2022,Dominica,AMRO,0,15760,0,74
2022,Dominican Republic,AMRO,0,655540,0,4384
2022,Ecuador,AMRO,0,1031449,0,35913
2022,Egypt,EMRO,0,515493,0,24801
2022,El Salvador,AMRO,0,201785,0,4230
2022,Equatorial Guinea,AFRO,0,17089,0,183
2022,Eritrea,AFRO,0,10189,0,103
2022,Estonia,EURO,0,611291,0,2837
2022,Eswatini,AFRO,0,73992,0,1422
2022,Ethiopia,AFRO,0,495348,0,7572
2022,Falkland Islands (Malvinas),AMRO,0,1923,0,0
2022,Faroe Islands,EURO,0,34658,0,28
2022,Fiji,WPRO,77,68702,3,881
2022,Finland,EURO,0,1438205,0,7933
2022,France,EURO,47594,37988187,119,157364
2022,French Guiana,AMRO,0,97526,0,411
2022,French Polynesia,WPRO,0,77910,0,649
2022,Gabon,AFRO,0,48973,0,306
2022,Gambia,AFRO,0,12586,0,372
2022,Georgia,EURO,0,1808820,0,16897
2022,Germany,EURO,29261,37177845,6,160611
2022,Ghana,AFRO,0,171038,0,1461
2022,Gibraltar,EURO,0,20252,0,110
2022,Greece,EURO,0,5548487,0,34779
2022,Greenland,EURO,0,11971,0,21
2022,Grenada,AMRO,0,19644,0,238
2022,Guadeloupe,AMRO,0,198608,0,997
2022,Guam,WPRO,0,49851,0,411
2022,Guatemala,AMRO,2701,1190610,1,19987
2022,Guernsey,EURO,0,33910,0,66
2022,Guinea,AFRO,0,38191,0,465
2022,Guinea-Bissau,AFRO,0,8848,0,176
2022,Guyana,AMRO,0,71963,0,1286
2022,Haiti,AMRO,0,33893,0,860
2022,Holy See,EURO,0,26,0,0
2022,Honduras,AMRO,0,463685,0,11063
2022,Hungary,EURO,0,2181419,0,48439
2022,Iceland,EURO,0,207974,0,229
2022,India,SEARO,163,44676678,9,530690
2022,Indonesia,SEARO,0,6713879,0,160488
2022,Iran (Islamic Republic of),EMRO,0,7560629,0,144672
2022,Iraq,EMRO,0,2464997,0,25369
